doc_id,_date,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
69,1999-09-12,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.13666666666666666,0.13666666666666666,0.13666666666666666,0.0033333333333333335,0.47,0.0033333333333333335,0.10333333333333333
51,1999-09-13,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.33999999999999997,0.006666666666666667,0.2733333333333333,0.006666666666666667,0.33999999999999997,0.006666666666666667
89,1999-09-13,0.07241379310344828,0.003448275862068966,0.6586206896551725,0.21034482758620687,0.003448275862068966,0.003448275862068966,0.03793103448275863,0.003448275862068966,0.003448275862068966,0.003448275862068966
53,1999-09-13,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.5954545454545455,0.004545454545454546,0.2772727272727273,0.004545454545454546,0.09545454545454546,0.004545454545454546,0.004545454545454546
5,1999-09-13,0.0038461538461538464,0.0038461538461538464,0.35,0.5423076923076923,0.0038461538461538464,0.0038461538461538464,0.04230769230769231,0.0038461538461538464,0.04230769230769231,0.0038461538461538464
66,1999-09-13,0.43142857142857144,0.002857142857142857,0.26,0.28857142857142853,0.002857142857142857,0.002857142857142857,0.002857142857142857,0.002857142857142857,0.002857142857142857,0.002857142857142857
27,1999-09-13,0.0030303030303030303,0.0030303030303030303,0.0030303030303030303,0.0030303030303030303,0.06363636363636364,0.0030303030303030303,0.5484848484848486,0.33636363636363636,0.03333333333333333,0.0030303030303030303
38,1999-09-13,0.2157894736842105,0.005263157894736842,0.005263157894736842,0.26842105263157895,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.4789473684210526
54,1999-09-14,0.12424242424242424,0.21515151515151515,0.0030303030303030303,0.03333333333333333,0.03333333333333333,0.5787878787878789,0.0030303030303030303,0.0030303030303030303,0.0030303030303030303,0.0030303030303030303
18,1999-09-14,0.004761904761904762,0.004761904761904762,0.5285714285714286,0.004761904761904762,0.33809523809523806,0.004761904761904762,0.05238095238095238,0.05238095238095238,0.004761904761904762,0.004761904761904762
14,1999-09-14,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.9208333333333334,0.004166666666666667,0.04583333333333334
45,1999-09-14,0.25357142857142856,0.0035714285714285718,0.03928571428571429,0.0035714285714285718,0.0035714285714285718,0.0035714285714285718,0.0035714285714285718,0.18214285714285713,0.0035714285714285718,0.5035714285714286
73,1999-09-14,0.004166666666666667,0.004166666666666667,0.37916666666666665,0.08750000000000001,0.08750000000000001,0.004166666666666667,0.004166666666666667,0.42083333333333334,0.004166666666666667,0.004166666666666667
84,1999-09-14,0.1952380952380952,0.004761904761904762,0.24285714285714283,0.004761904761904762,0.004761904761904762,0.004761904761904762,0.004761904761904762,0.5285714285714286,0.004761904761904762,0.004761904761904762
93,1999-09-14,0.409375,0.003125,0.003125,0.221875,0.253125,0.003125,0.003125,0.003125,0.065625,0.034375
80,1999-09-15,0.08378378378378379,0.002702702702702703,0.002702702702702703,0.35405405405405405,0.05675675675675676,0.002702702702702703,0.002702702702702703,0.4621621621621622,0.002702702702702703,0.02972972972972973
7,1999-09-15,0.004166666666666667,0.2125,0.004166666666666667,0.004166666666666667,0.37916666666666665,0.25416666666666665,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.12916666666666668
61,1999-09-15,0.004761904761904762,0.4809523809523809,0.004761904761904762,0.33809523809523806,0.004761904761904762,0.004761904761904762,0.05238095238095238,0.004761904761904762,0.004761904761904762,0.1
41,1999-09-15,0.09545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.18636363636363634,0.004545454545454546,0.6863636363636364
85,1999-09-15,0.05,0.004545454545454546,0.5954545454545455,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.3227272727272727
78,1999-09-15,0.003703703703703704,0.003703703703703704,0.003703703703703704,0.040740740740740744,0.003703703703703704,0.003703703703703704,0.003703703703703704,0.8555555555555556,0.07777777777777778,0.003703703703703704
8,1999-09-16,0.003448275862068966,0.03793103448275863,0.2793103448275862,0.03793103448275863,0.003448275862068966,0.07241379310344828,0.21034482758620687,0.3482758620689655,0.003448275862068966,0.003448275862068966
83,1999-09-16,0.19189189189189187,0.002702702702702703,0.1108108108108108,0.02972972972972973,0.002702702702702703,0.002702702702702703,0.13783783783783782,0.5162162162162163,0.002702702702702703,0.002702702702702703
21,1999-09-16,0.37916666666666665,0.12916666666666668,0.08750000000000001,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.37916666666666665,0.004166666666666667,0.004166666666666667
50,1999-09-16,0.003703703703703704,0.003703703703703704,0.4111111111111111,0.003703703703703704,0.003703703703703704,0.003703703703703704,0.07777777777777778,0.003703703703703704,0.040740740740740744,0.44814814814814813
42,1999-09-16,0.004545454545454546,0.004545454545454546,0.1409090909090909,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.45909090909090905,0.004545454545454546,0.36818181818181817
68,1999-09-17,0.484,0.004,0.084,0.004,0.204,0.084,0.004,0.004,0.084,0.044000000000000004
34,1999-09-17,0.00625,0.00625,0.75625,0.00625,0.00625,0.00625,0.13125,0.00625,0.06875,0.00625
75,1999-09-17,0.29583333333333334,0.04583333333333334,0.004166666666666667,0.1708333333333333,0.46249999999999997,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.004166666666666667
58,1999-09-17,0.004347826086956522,0.1782608695652174,0.004347826086956522,0.004347826086956522,0.004347826086956522,0.004347826086956522,0.004347826086956522,0.7434782608695653,0.004347826086956522,0.04782608695652174
32,1999-09-17,0.4862068965517241,0.003448275862068966,0.24482758620689654,0.24482758620689654,0.003448275862068966,0.003448275862068966,0.003448275862068966,0.003448275862068966,0.003448275862068966,0.003448275862068966
0,1999-09-17,0.4333333333333333,0.004761904761904762,0.33809523809523806,0.004761904761904762,0.004761904761904762,0.1,0.004761904761904762,0.004761904761904762,0.004761904761904762,0.1
23,1999-09-17,0.003703703703703704,0.15185185185185185,0.337037037037037,0.003703703703703704,0.003703703703703704,0.003703703703703704,0.003703703703703704,0.3,0.18888888888888888,0.003703703703703704
16,1999-09-17,0.004166666666666667,0.004166666666666667,0.6291666666666667,0.29583333333333334,0.004166666666666667,0.04583333333333334,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.004166666666666667
30,1999-09-21,0.08750000000000001,0.25416666666666665,0.004166666666666667,0.04583333333333334,0.08750000000000001,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.5041666666666667,0.004166666666666667
43,1999-09-22,0.2833333333333333,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.22777777777777775,0.005555555555555556,0.2833333333333333,0.005555555555555556,0.005555555555555556,0.17222222222222222
28,1999-09-22,0.003703703703703704,0.11481481481481481,0.003703703703703704,0.003703703703703704,0.003703703703703704,0.003703703703703704,0.040740740740740744,0.8185185185185185,0.003703703703703704,0.003703703703703704
77,1999-09-22,0.284375,0.003125,0.159375,0.003125,0.003125,0.065625,0.159375,0.315625,0.003125,0.003125
52,1999-09-22,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.09545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.8681818181818183
36,1999-09-23,0.04230769230769231,0.27307692307692305,0.23461538461538461,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.4269230769230769
96,1999-09-23,0.20222222222222222,0.0022222222222222222,0.0911111111111111,0.24666666666666665,0.38,0.0022222222222222222,0.0022222222222222222,0.0022222222222222222,0.0022222222222222222,0.06888888888888889
37,1999-09-24,0.002272727272727273,0.002272727272727273,0.002272727272727273,0.002272727272727273,0.002272727272727273,0.002272727272727273,0.002272727272727273,0.002272727272727273,0.8431818181818183,0.13863636363636364
10,1999-09-26,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.07,0.0033333333333333335,0.07,0.5366666666666667,0.30333333333333334,0.0033333333333333335
62,1999-09-26,0.06774193548387097,0.0032258064516129032,0.0032258064516129032,0.16451612903225804,0.035483870967741936,0.035483870967741936,0.0032258064516129032,0.0032258064516129032,0.1,0.5838709677419355
4,1999-09-27,0.11923076923076924,0.0038461538461538464,0.04230769230769231,0.04230769230769231,0.0038461538461538464,0.0038461538461538464,0.04230769230769231,0.11923076923076924,0.11923076923076924,0.5038461538461538
76,1999-09-27,0.02972972972972973,0.002702702702702703,0.13783783783783782,0.002702702702702703,0.002702702702702703,0.02972972972972973,0.19189189189189187,0.2189189189189189,0.002702702702702703,0.3810810810810811
64,1999-09-27,0.04230769230769231,0.0038461538461538464,0.38846153846153847,0.04230769230769231,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.08076923076923077,0.4269230769230769
