K,mean_cosine,std_cosine,mean_cv,std_cv
5,0.7754333610509223,0.05266189209414704,0.3450685814228306,0.02391033960041091
8,0.7054864338760074,0.0397583769943972,0.34717207944969564,0.04179777405384942
10,0.6382267549481877,0.021949747489062543,0.35859791576210653,0.05642772151998347
12,0.5963432798509802,0.02603994071665047,0.350552556191232,0.04648701274806847
15,0.5740586540212298,0.02169817497425359,0.359076918604785,0.051590331023152
18,0.5220821061944607,0.02291773712564138,0.3468128627706691,0.051937832851413054
20,0.49991597708922403,0.01651173617267071,0.35076082332281716,0.05804330890687659
25,0.4615510051335555,0.00984274923671041,0.34855916005703597,0.05126278818645609
