n,term,is_fashion,fashion_category,corpus_freq
1,resort,True,occasion,40
1,sweatpant,True,garment,40
1,toggle,True,garment,39
1,duster,True,garment,38
1,skater,True,garment,38
1,pea,True,garment,37
1,varsity,True,garment,37
1,dirndl,True,garment,36
1,opulent,True,style,36
1,toile,True,material,36
1,mermaid,True,style,35
1,rugby,True,garment,35
1,black,True,color,34
1,ornate,True,style,33
1,camo,True,garment,32
1,organdy,True,material,32
1,prairie,True,garment,32
1,tutu,True,garment,32
1,wash,True,style,32
1,bell,True,style,31
1,bloomer,True,garment,31
1,choker,True,garment,31
1,gabardine,True,material,31
1,seersucker,True,material,31
1,umbrella,True,accessory,31
1,burlap,True,material,30
1,gem,True,material,30
1,peak,True,garment,30
1,keyhole,True,garment,29
1,plunge,True,garment,29
1,bridal,True,occasion,28
1,chemise,True,garment,28
1,fringe,True,style,28
1,windbreaker,True,garment,28
1,cloque,True,material,26
1,sarong,True,garment,25
1,argyle,True,style,24
1,foulard,True,material,24
1,trumpet,True,style,24
1,boat,True,garment,23
1,burnout,True,style,23
1,flamenco,True,garment,23
1,loden,True,material,23
1,mousseline,True,material,23
1,batik,True,material,22
1,godet,True,garment,22
1,red,True,color,22
1,sweetheart,True,garment,22
1,crossover,True,garment,21
1,damask,True,material,21
1,headband,True,accessory,21
1,smocking,True,style,21
1,velour,True,material,21
1,chenille,True,material,20
1,polyester,True,material,20
1,shantung,True,material,20
1,skort,True,garment,20
1,trunk,True,garment,20
1,cheongsam,True,garment,19
1,dungaree,True,material,19
1,ecru,True,color,19
1,bone,True,material,18
1,crash,True,material,18
1,muslin,True,material,18
1,raglan,True,garment,18
1,scoop,True,garment,18
1,gather,True,style,16
1,watch,True,accessory,16
1,kangaroo,True,garment,15
1,chino,True,material,14
1,giraffe,True,style,14
1,moleskin,True,material,14
1,drill,True,material,13
1,fly,True,garment,13
1,lounge,True,garment,13
1,plant,True,style,13
1,sateen,True,material,13
1,calico,True,material,12
1,rayon,True,material,12
1,wallet,True,accessory,12
1,hemp,True,material,11
1,polo,True,garment,11
1,hobble,True,garment,10
1,ottoman,True,material,10
1,oval,True,garment,10
1,quilt,True,style,10
1,terrycloth,True,material,10
1,gold,True,color,9
1,nightgown,True,garment,9
1,peg,True,garment,9
1,basque,True,garment,8
1,cheetah,True,style,8
1,crew,True,garment,8
1,duffle,True,garment,8
1,jabot,True,garment,8
1,rivet,True,style,8
1,scrim,True,material,8
1,spandex,True,material,8
1,trademark,True,brand,8
1,duck,True,material,7
1,grey,True,color,7
1,rep,True,material,7
1,bishop,True,garment,6
1,capri,True,garment,6
1,cheesecloth,True,material,6
1,chintz,True,material,6
1,epaulette,True,garment,6
1,bermuda,True,garment,5
1,fray,True,style,5
1,gap,True,brand,5
1,jute,True,material,5
