n_topics,coherence_cv,perplexity
10,0.39776800217848896,1167.2437012807889
15,0.42911844927909965,1199.0990678828082
20,0.429313423322449,1236.8283928178819
25,0.4273818657195523,1266.2299663969861
30,0.42301766640789096,1289.6169022428235
35,0.43163404699351554,1325.5523080640457
40,0.4297460590609273,1355.0528828763966
45,0.42467200848165015,1387.8311387456467
50,0.4227115036944938,1415.631903844416
55,0.42959752515216615,1452.127342132053
