n,term,is_fashion,fashion_category,corpus_freq
1,crisp,False,non_fashion,259
1,jacquard,False,non_fashion,259
1,colorful,False,non_fashion,257
1,group,False,non_fashion,257
1,ninety,False,non_fashion,257
1,outing,False,non_fashion,254
1,sportswear,False,non_fashion,254
1,boxy,False,non_fashion,253
1,set,False,non_fashion,252
1,lovely,False,non_fashion,251
1,technique,False,non_fashion,251
1,concept,False,non_fashion,249
1,construction,False,non_fashion,249
1,combination,False,non_fashion,248
1,traditional,False,non_fashion,248
1,close,False,non_fashion,247
1,column,False,non_fashion,247
1,outerwear,False,non_fashion,247
1,editor,False,non_fashion,246
1,love,False,non_fashion,246
1,power,False,non_fashion,246
1,month,False,non_fashion,245
1,obvious,False,non_fashion,245
1,approach,False,non_fashion,244
1,film,False,non_fashion,243
1,japanese,False,non_fashion,243
1,large,False,non_fashion,243
1,trip,False,non_fashion,243
1,air,False,non_fashion,242
1,platform,False,non_fashion,242
1,feeling,False,non_fashion,240
1,step,False,non_fashion,240
1,pop,False,non_fashion,239
1,sure,False,non_fashion,239
1,baby,False,non_fashion,238
1,tee,False,non_fashion,238
1,effort,False,non_fashion,235
1,personal,False,non_fashion,234
1,tonight,False,non_fashion,233
1,lady,False,non_fashion,232
1,certain,False,non_fashion,231
1,scene,False,non_fashion,230
1,shirtdress,False,non_fashion,227
1,happy,False,non_fashion,225
1,room,False,non_fashion,225
1,clothing,False,non_fashion,224
1,beauty,False,non_fashion,223
1,fox,False,non_fashion,223
1,use,False,non_fashion,223
1,home,False,non_fashion,222
1,original,False,non_fashion,221
1,strength,False,non_fashion,220
1,patchwork,False,non_fashion,219
1,sandal,False,non_fashion,219
1,special,False,non_fashion,219
1,huge,False,non_fashion,218
1,surprise,False,non_fashion,217
1,question,False,non_fashion,216
1,beading,False,non_fashion,215
1,eveningwear,False,non_fashion,215
1,fifty,False,non_fashion,215
1,giant,False,non_fashion,215
1,range,False,non_fashion,215
1,layered,False,non_fashion,214
1,lean,False,non_fashion,214
1,basic,False,non_fashion,213
1,collaboration,False,non_fashion,213
1,italian,False,non_fashion,213
1,paillette,False,non_fashion,213
1,stuff,False,non_fashion,213
1,lingerie,False,non_fashion,211
1,mink,False,non_fashion,211
1,punk,False,non_fashion,211
1,solid,False,non_fashion,211
1,attitude,False,non_fashion,210
1,contrast,False,non_fashion,210
1,sensibility,False,non_fashion,210
1,level,False,non_fashion,209
1,luxe,False,non_fashion,209
1,shiny,False,non_fashion,208
1,bias,False,non_fashion,207
1,energy,False,non_fashion,206
1,esque,False,non_fashion,206
1,jewelry,False,non_fashion,206
1,music,False,non_fashion,205
1,option,False,non_fashion,204
1,variety,False,non_fashion,204
1,emphasis,False,non_fashion,203
1,future,False,non_fashion,203
1,natural,False,non_fashion,203
1,school,False,non_fashion,203
1,turtleneck,False,non_fashion,203
1,addition,False,non_fashion,202
1,country,False,non_fashion,202
1,thigh,False,non_fashion,202
1,change,False,non_fashion,198
1,mid,False,non_fashion,198
1,hit,False,non_fashion,196
1,stiff,False,non_fashion,196
1,british,False,non_fashion,195
1,notion,False,non_fashion,195
1,success,False,non_fashion,195
1,elegance,False,non_fashion,194
1,odd,False,non_fashion,194
1,polished,False,non_fashion,194
1,raw,False,non_fashion,194
1,rest,False,non_fashion,193
1,movie,False,non_fashion,192
1,stretch,False,non_fashion,191
1,ease,False,non_fashion,190
1,open,False,non_fashion,190
1,spot,False,non_fashion,190
1,retro,False,non_fashion,189
1,shot,False,non_fashion,189
1,striped,False,non_fashion,189
1,territory,False,non_fashion,188
1,neon,False,non_fashion,187
1,news,False,non_fashion,186
1,uniform,False,non_fashion,186
1,lamé,False,non_fashion,185
1,muse,False,non_fashion,185
1,sex,False,non_fashion,185
1,term,False,non_fashion,185
1,bra,False,non_fashion,184
1,chunky,False,non_fashion,184
1,interest,False,non_fashion,183
1,pastel,False,non_fashion,183
1,colored,False,non_fashion,182
1,complete,False,non_fashion,181
1,laser,False,non_fashion,181
1,stage,False,non_fashion,181
1,important,False,non_fashion,180
1,photo,False,non_fashion,180
1,relaxed,False,non_fashion,180
1,friend,False,non_fashion,179
1,overall,False,non_fashion,179
1,age,False,non_fashion,178
1,general,False,non_fashion,178
1,career,False,non_fashion,177
1,famous,False,non_fashion,177
1,clever,False,non_fashion,176
1,cuff,False,non_fashion,176
1,program,False,non_fashion,176
1,youthful,False,non_fashion,176
1,free,False,non_fashion,175
1,gorgeous,False,non_fashion,175
1,necklace,False,non_fashion,174
1,sister,False,non_fashion,174
1,market,False,non_fashion,173
1,miniskirt,False,non_fashion,173
1,morning,False,non_fashion,172
1,surface,False,non_fashion,172
1,turn,False,non_fashion,171
1,drop,False,non_fashion,170
1,motorcycle,False,non_fashion,170
1,female,False,non_fashion,168
1,flash,False,non_fashion,168
1,offering,False,non_fashion,168
1,playful,False,non_fashion,168
1,rose,False,non_fashion,168
1,ball,False,non_fashion,167
1,major,False,non_fashion,167
1,movement,False,non_fashion,167
1,staple,False,non_fashion,167
1,studio,False,non_fashion,167
1,technical,False,non_fashion,167
1,commercial,False,non_fashion,166
1,play,False,non_fashion,166
1,reason,False,non_fashion,165
1,venue,False,non_fashion,165
1,welcome,False,non_fashion,165
1,history,False,non_fashion,164
1,ladylike,False,non_fashion,164
1,literal,False,non_fashion,164
1,starting,False,non_fashion,164
1,successful,False,non_fashion,164
1,charm,False,non_fashion,163
1,costume,False,non_fashion,163
1,corset,False,non_fashion,162
1,extra,False,non_fashion,162
1,animal,False,non_fashion,161
1,confident,False,non_fashion,160
1,toe,False,non_fashion,160
1,variation,False,non_fashion,160
1,bubble,False,non_fashion,159
1,price,False,non_fashion,159
1,forty,False,non_fashion,158
1,hour,False,non_fashion,157
1,python,False,non_fashion,157
1,heritage,False,non_fashion,156
1,pearl,False,non_fashion,156
1,celebrity,False,non_fashion,155
1,impression,False,non_fashion,155
1,self,False,non_fashion,155
1,simplicity,False,non_fashion,155
1,thought,False,non_fashion,155
1,hint,False,non_fashion,154
1,knitwear,False,non_fashion,154
1,main,False,non_fashion,154
1,nod,False,non_fashion,154
1,styling,False,non_fashion,154
1,torso,False,non_fashion,154
1,femininity,False,non_fashion,153
1,final,False,non_fashion,153
1,paper,False,non_fashion,153
1,parade,False,non_fashion,153
1,practical,False,non_fashion,153
1,sport,False,non_fashion,153
1,strip,False,non_fashion,153
1,unexpected,False,non_fashion,153
1,challenge,False,non_fashion,152
1,client,False,non_fashion,152
1,inset,False,non_fashion,152
1,neat,False,non_fashion,152
1,polka,False,non_fashion,152
1,structured,False,non_fashion,152
1,thick,False,non_fashion,152
1,block,False,non_fashion,151
1,choice,False,non_fashion,151
1,nature,False,non_fashion,151
1,culture,False,non_fashion,150
1,dressing,False,non_fashion,150
1,performance,False,non_fashion,150
1,sight,False,non_fashion,150
1,twist,False,non_fashion,150
1,book,False,non_fashion,149
1,cute,False,non_fashion,149
1,daily,False,non_fashion,149
1,appearance,False,non_fashion,148
1,game,False,non_fashion,148
1,highlight,False,non_fashion,148
1,skill,False,non_fashion,148
1,bustier,False,non_fashion,147
1,ensemble,False,non_fashion,147
1,side,False,non_fashion,147
1,stylist,False,non_fashion,146
1,backdrop,False,non_fashion,145
1,arm,False,non_fashion,144
1,thread,False,non_fashion,144
1,turquoise,False,non_fashion,144
1,hue,False,non_fashion,143
1,beginning,False,non_fashion,142
1,doll,False,non_fashion,142
1,thank,False,non_fashion,142
1,fantasy,False,non_fashion,141
1,layering,False,non_fashion,141
1,center,False,non_fashion,140
1,type,False,non_fashion,140
1,process,False,non_fashion,139
1,club,False,non_fashion,138
1,experience,False,non_fashion,138
1,grand,False,non_fashion,138
1,kid,False,non_fashion,138
1,minute,False,non_fashion,138
1,fitting,False,non_fashion,137
1,ground,False,non_fashion,137
1,jet,False,non_fashion,137
1,similar,False,non_fashion,137
1,event,False,non_fashion,136
1,middle,False,non_fashion,136
1,retail,False,non_fashion,136
1,root,False,non_fashion,136
1,experiment,False,non_fashion,135
1,neutral,False,non_fashion,135
1,blog,False,non_fashion,134
1,makeup,False,non_fashion,134
1,report,False,non_fashion,134
1,taste,False,non_fashion,134
1,drama,False,non_fashion,133
1,extraordinary,False,non_fashion,133
1,guest,False,non_fashion,133
1,car,False,non_fashion,132
1,development,False,non_fashion,132
1,archive,False,non_fashion,131
1,character,False,non_fashion,130
1,difficult,False,non_fashion,130
1,precise,False,non_fashion,130
1,straightforward,False,non_fashion,130
1,belted,False,non_fashion,129
1,fuchsia,False,non_fashion,129
1,guy,False,non_fashion,129
1,order,False,non_fashion,129
1,retailer,False,non_fashion,129
1,screen,False,non_fashion,129
1,acid,False,non_fashion,128
1,bouclé,False,non_fashion,128
1,occasion,False,non_fashion,128
1,romance,False,non_fashion,128
1,showroom,False,non_fashion,128
1,skirtsuit,False,non_fashion,128
1,thin,False,non_fashion,128
1,extreme,False,non_fashion,127
1,job,False,non_fashion,127
1,minimalism,False,non_fashion,127
1,reality,False,non_fashion,127
1,shearling,False,non_fashion,127
1,digital,False,non_fashion,126
1,generation,False,non_fashion,126
1,goddess,False,non_fashion,126
1,impressive,False,non_fashion,126
1,pajama,False,non_fashion,126
1,wild,False,non_fashion,126
1,english,False,non_fashion,125
1,minidresse,False,non_fashion,125
1,need,False,non_fashion,125
1,downtown,False,non_fashion,124
1,industry,False,non_fashion,124
1,start,False,non_fashion,124
