k,cluster_id,n,freq,top_verbs
30,6,116,1261,"emerge, evoke, emphasize, rise, conjure, evolve, embellish, inject, elevate, embody"
30,7,171,18708,"have, take, want, get, give, use, put, open, add, call"
30,8,113,1425,"move, sit, cover, represent, debut, march, land, place, visit, parade"
30,9,105,4065,"work, keep, continue, produce, manage, live, focus, remain, grow, develop"
30,10,114,3130,"turn, stand, fall, push, stick, break, hang, shape, float, range"
30,11,103,868,"return, recall, replace, revisit, reappear, repeat, reinterpret, reprise, rework, re"
30,12,83,516,"appeal, avoid, resist, distract, deny, detract, hide, ignore, refuse, eschew"
30,13,91,9361,"come, go, include, start, become, appear, bring, begin, suggest, create"
30,14,176,1851,"build, launch, lead, capture, top, aim, base, express, showcase, model"
30,15,114,9789,"say, do, know, explain, think, mean, end, try, happen, imagine"
30,16,132,2038,"cut, wrap, line, tuck, edge, tap, trim, head, whip, nail"
30,17,135,748,"fill, flow, wash, destine, filter, spill, delve, pour, wind, dispense"
30,18,99,3367,"make, translate, construct, underscore, yield, spell, precede, complement, juxtapose, derive"
30,19,71,1849,"wear, dress, drape, style, knit, weave, suit, sew, tailor, lace"
30,20,56,1567,"play, strike, lose, win, match, kick, sport, settle, dominate, toss"
30,21,64,8298,"look, seem, feel, see, find, describe, read, tell, decide, ask"
30,22,142,349,"veer, patchworke, hone, ampe, soundtracke, imbue, vie, tout, devise, evince"
30,23,171,795,"mark, catch, bear, dub, stray, toy, stud, garner, meld, billow"
30,24,109,1842,"walk, run, explore, step, reach, fly, slip, drive, trail, travel"
30,25,65,796,"sound, echo, hear, riff, sing, scream, resonate, listen, accent, pronounce"
30,26,107,918,"change, extend, transform, expand, soften, morph, refine, scale, tweak, sharpen"
30,27,71,896,"mix, combine, gather, separate, pack, merge, zip, divide, split, pile"
30,28,123,599,"stag, crop, sweep, strut, stomp, dig, pluck, finesse, scoop, skim"
30,29,155,2528,"feature, present, reveal, reference, lack, form, name, notice, note, hint"
35,0,91,210,"patchworke, hone, ampe, soundtracke, imbue, vie, devise, evince, wreathe, crescendo"
35,1,76,885,"pull, capture, catch, crop, pack, strip, sweep, zip, pile, garner"
35,2,100,759,"return, replace, revisit, reappear, repeat, reinterpret, reprise, rework, re, reconfigure"
35,3,77,1578,"pair, choose, decide, meet, mix, combine, gather, separate, settle, merge"
35,4,59,910,"move, sit, represent, land, place, visit, address, spot, occupy, center"
35,5,90,1304,"walk, explore, step, reach, trail, travel, steer, hop, jump, trace"
35,6,99,624,"fill, flow, absorb, filter, spill, infuse, compound, dissolve, pour, wind"
35,7,123,18902,"have, say, look, do, see, know, find, explain, think, prove"
35,8,57,449,"trim, soften, lean, wash, destine, lighten, sharpen, brush, warm, clean"
35,9,108,1251,"stick, wrap, hang, line, shape, tie, nail, cinch, bind, belt"
35,10,65,966,"sound, echo, speak, hear, riff, sing, nod, scream, resonate, listen"
35,11,104,997,"reflect, change, extend, transform, expand, embellish, revolve, refine, scale, tweak"
35,12,119,1831,"love, present, count, name, appreciate, benefit, matter, balance, progress, sum"
35,13,82,2261,"wear, dress, cover, drape, layer, embroider, accessorize, style, knit, weave"
35,14,87,1858,"turn, throw, slip, tuck, whip, stretch, swing, spin, roll, shift"
35,15,151,2982,"inspire, provide, push, expect, introduce, evoke, establish, allow, achieve, insist"
35,16,105,12669,"take, want, get, give, use, put, add, call, need, keep"
35,17,79,33572,"be, feel, mean, talk, focus, lack, celebrate, embrace, rely, care"
35,18,70,4100,"make, design, create, build, decorate, print, paint, construct, project, model"
35,19,84,1242,"like, lay, touch, treat, blow, seek, crave, indulge, obsess, linger"
35,20,90,683,"deserve, appeal, lie, admit, acknowledge, disappoint, respond, dedicate, blame, complement"
35,21,72,493,"avoid, resist, suspend, distract, contain, deny, threaten, detract, hide, ignore"
35,22,64,1692,"become, produce, emerge, grow, develop, tend, resemble, evolve, yield, attract"
35,23,129,711,"lead, bear, head, stray, toy, stud, shin, inch, billow, perch"
35,24,117,4225,"include, appear, feature, end, read, deliver, reveal, reference, claim, recall"
35,25,112,10235,"come, go, work, start, play, begin, stand, continue, run, serve"
35,26,91,4593,"show, seem, describe, draw, translate, define, emphasize, demonstrate, experiment, understand"
35,27,92,433,"snap, shrug, err, hew, hark, nip, wove, waft, jib, swish"
35,28,97,393,"splice, carve, slice, sprout, sculpt, pluck, chalk, scatter, seep, peel"
35,29,40,565,"fall, float, dip, descend, splash, dig, sink, plunge, pump, sail"
35,30,184,626,"miss, stag, veer, dub, meld, liven, teeter, leaven, perk, tout"
35,31,48,244,"underscore, limit, underline, overwhelm, extrapolate, overlay, overshadow, underpin, exaggerate, overpower"
35,32,87,1097,"strike, pop, edge, tap, flare, peek, flash, fuse, blossom, glow"
35,33,89,1507,"cut, leave, break, expose, abandon, explode, fade, escape, disappear, kill"
35,34,155,2500,"open, set, launch, top, aim, base, channel, express, range, showcase"
40,0,65,602,"sound, echo, scream, tick, billow, pronounce, waft, rattle, teeter, clamor"
40,1,102,5158,"show, start, appear, begin, provide, talk, introduce, speak, establish, cite"
40,2,96,612,"pop, blow, destine, filter, blossom, spill, wind, spring, breeze, blend"
40,3,61,1067,"draw, decorate, mark, print, embroider, line, shape, paint, nail, pin"
40,4,83,1555,"pair, choose, meet, mix, combine, match, gather, tie, separate, join"
40,5,67,436,"replace, revisit, reinterpret, refine, rework, re, reconfigure, reimagine, reinvent, relaunche"
40,6,52,879,"hit, strike, break, kick, snap, hurt, spark, bloom, knock, splash"
40,7,96,1565,"like, imagine, miss, celebrate, embrace, treat, nod, crave, hug, indulge"
40,8,117,4966,"make, include, design, create, build, form, accessorize, render, construct, yield"
40,9,83,3755,"play, call, set, follow, push, hold, carry, throw, capture, stick"
40,10,53,719,"focus, flare, peek, shine, flash, highlight, fade, glow, light, sparkle"
40,11,106,230,"obscure, meld, sprout, leaven, tout, bandy, bead, dapple, glisten, flaunt"
40,12,85,3827,"come, serve, deliver, reveal, win, arrive, finish, debut, march, dominate"
40,13,71,2086,"wear, dress, cover, drape, layer, style, knit, weave, suit, sew"
40,14,74,2239,"feel, stand, sit, hang, lay, lighten, suffer, suspend, linger, shy"
40,15,157,6838,"see, know, explain, think, feature, close, help, end, try, happen"
40,16,81,1212,"cut, top, crop, edge, head, splice, piece, fuse, slash, par"
40,17,53,531,"return, recall, reappear, repeat, reprise, forgive, back, rein, reverse, revive"
40,18,98,1408,"open, represent, base, land, dub, place, visit, address, garner, spot"
40,19,87,1881,"turn, launch, explore, express, range, drive, trail, travel, steer, cross"
40,20,48,753,"fit, rise, trim, soften, stretch, lift, raise, lean, gain, loosen"
40,21,92,417,"stag, sweep, pile, stomp, pluck, scoop, stir, skim, scatter, swoop"
40,22,95,818,"emerge, evoke, conjure, inject, embody, infuse, envision, exude, inset, invent"
40,23,59,2748,"go, leave, move, lose, stay, abandon, die, escape, disappear, kill"
40,24,107,17798,"have, do, take, want, get, give, use, put, add, need"
40,25,79,760,"riff, swing, spin, roll, ring, flow, round, skew, circle, flip"
40,26,102,663,"lead, define, bear, stray, star, toy, stud, pip, snake, perk"
40,27,90,508,"fill, explode, wash, absorb, dissolve, delve, pour, dispense, distil, melt"
40,28,91,1015,"pull, wrap, tuck, whip, cinch, strip, bind, belt, sling, strut"
40,29,59,600,"emphasize, extend, expand, embellish, elevate, scale, tweak, accentuate, broaden, alter"
40,30,77,786,"reflect, translate, resemble, transform, revolve, interpret, morph, mimic, exemplify, encapsulate"
40,31,84,587,"stop, avoid, resist, disappoint, distract, fail, deny, detract, hide, ignore"
40,32,88,2124,"mean, love, present, lack, count, name, sport, matter, balance, care"
40,33,110,408,"hear, mine, hew, hark, nip, wove, liven, jib, hem, plumb"
40,34,45,5662,"look, seem, find, describe, tell, decide, experiment, discover, recognize, indicate"
40,35,95,35343,"be, work, become, inspire, continue, produce, manage, live, remain, grow"
40,36,51,1364,"walk, fall, run, step, fly, slip, float, dip, hop, jump"
40,37,49,241,"underscore, limit, overwhelm, extrapolate, offset, overlay, overshadow, underpin, exaggerate, overpower"
40,38,94,266,"veer, patchworke, hone, ampe, soundtracke, imbue, vie, devise, wreathe, augur"
40,39,91,4920,"say, prove, expect, claim, allow, insist, deserve, believe, appeal, promise"
45,0,55,365,"mark, name, stud, garner, shin, bond, chase, ponder, bill, rouse"
45,1,71,499,"miss, appreciate, up, err, par, hew, hark, nip, liven, teeter"
45,2,67,1509,"cut, grow, fit, extend, transform, crop, expand, trim, stretch, gain"
45,3,39,677,"love, marry, shy, adore, seduce, tease, thrill, creep, delight, rub"
45,4,46,239,"define, resonate, abstract, deconstruct, dissect, materialize, symbolize, devolve, visualize, personify"
45,5,68,619,"return, recall, revisit, reappear, repeat, reprise, re, back, relaunche, rein"
45,6,77,1009,"mean, echo, treat, scream, temper, tear, allude, burn, poise, revel"
45,7,100,463,"stag, riff, splice, stomp, billow, pluck, rattle, scatter, clamor, slink"
45,8,64,923,"move, represent, range, land, place, visit, address, spot, occupy, ground"
45,9,46,3913,"look, describe, choose, decide, ask, count, experiment, check, discover, recognize"
45,10,69,380,"snap, shrug, nod, shake, splash, waft, jib, swish, buzz, swoop"
45,11,111,789,"top, base, debut, dub, mine, star, obscure, team, rock, accent"
45,12,107,1870,"feature, sound, lack, form, head, influence, sport, benefit, matter, balance"
45,13,120,707,"lead, pop, bear, round, toy, blossom, sprout, inch, dot, perch"
45,14,76,4602,"work, use, call, follow, hit, help, pull, push, launch, stick"
45,15,59,604,"reflect, soften, fill, absorb, lighten, morph, refine, dissolve, accentuate, delve"
45,16,36,550,"reveal, wrap, tuck, strip, zip, loosen, twist, fold, unfold, unzip"
45,17,90,984,"emerge, evoke, rise, conjure, inject, attract, elevate, embody, descend, infuse"
45,18,69,2029,"wear, dress, cover, drape, layer, accessorize, style, weave, suit, tailor"
45,19,91,179,"juxtapose, meld, wove, intuit, yearn, amble, bejewel, christen, enthral, spellbind"
45,20,57,366,"blow, crave, spill, eat, slice, graze, seize, tempt, pronounce, scoop"
45,21,45,418,"change, replace, revolve, reinterpret, rework, reconfigure, reimagine, reinvent, rethink, customize"
45,22,88,419,"wash, destine, surface, ensure, compound, distil, dye, chalk, leaven, mold"
45,23,77,5566,"go, feel, start, stand, continue, live, remain, lose, win, stay"
45,24,75,803,"leave, abandon, explode, fade, escape, disappear, kill, shed, surrender, detract"
45,25,128,5253,"see, know, open, close, present, end, try, happen, reference, point"
45,26,32,566,"talk, meet, settle, argue, threaten, fight, compete, compromise, encounter, solve"
45,27,65,807,"mix, combine, gather, separate, join, merge, divide, split, pile, excel"
45,28,33,158,"wind, spring, breeze, hail, warm, storm, dry, fire, rain, fan"
45,29,94,268,"veer, patchworke, hone, ampe, soundtracke, imbue, devise, evince, blare, wreathe"
45,30,50,3803,"make, create, build, produce, develop, earn, construct, yield, derive, invent"
45,31,64,1354,"explain, translate, emphasize, understand, embellish, underscore, spell, elaborate, interpret, suppose"
45,32,76,2029,"turn, walk, run, step, fly, drive, trail, travel, steer, cross"
45,33,86,6959,"say, come, prove, tell, claim, deserve, believe, hear, promise, ought"
45,34,53,1247,"design, draw, decorate, print, embroider, shape, paint, knit, render, sew"
45,35,73,924,"edge, display, flare, peek, shine, showcase, flash, fuse, slash, highlight"
