,n_reviews,tokens,entropy_bits
1999–2000,292,2486,2.1786725328851477
2001–2003,644,8532,2.292218984772787
2004–2006,849,13901,2.258893910693671
2007–2009,1405,23624,2.21457044715341
2010–2012,2028,41858,2.173139356819392
2013–2014,1274,28937,2.1701834948276484
