type,tokens,share,rank,cum_share
Ambiguous,54987,0.4607668973839012,1,0.4607668973839012
Critic:Observation,21310,0.17856843587122292,2,0.6393353332551241
Designer/Collection:Contextual Positioning,14091,0.11807638807420939,3,0.7574117213293335
Designer/Collection:Craft,10722,0.08984564849419296,4,0.8472573698235265
Critic:Stance,9539,0.07993262833297021,5,0.9271899981564967
Designer/Collection:Appearance & Movement,8689,0.07281000184350332,6,1.0
