type,tokens,share,rank,cum_share
Outlining,82694,0.6929393822587944,1,0.6929393822587944
Introducing,17875,0.14978464529320082,2,0.8427240275519952
Highlighting,13295,0.11140625785583803,3,0.9541302854078332
Evaluating,5474,0.04586971459216679,4,1.0
