,n_reviews,tokens,entropy_bits
1999–2000,292,2486,1.2875015286420286
2001–2003,644,8532,1.3599347482599096
2004–2006,849,13901,1.3733461869064478
2007–2009,1405,23624,1.3552251775051785
2010–2012,2028,41858,1.3022808992100132
2013–2014,1274,28937,1.3353570555765408
