doc_id,year,chunk,dominant_topic,max_theta
69,1999,0,1,0.6090909090909091
51,1999,0,5,0.3642857142857142
89,1999,0,1,0.815625
53,1999,0,1,0.4172413793103448
5,1999,0,1,0.6366666666666667
66,1999,0,1,0.5305555555555556
27,1999,0,7,0.4272727272727272
38,1999,0,1,0.7772727272727273
54,1999,0,9,0.5171428571428572
18,1999,0,1,0.7666666666666667
14,1999,0,1,0.4653846153846154
45,1999,0,1,0.67
73,1999,0,1,0.7275862068965517
84,1999,0,1,0.7240000000000001
93,1999,0,8,0.4575757575757576
80,1999,0,1,0.7717948717948718
7,1999,0,0,0.4391304347826086
61,1999,0,0,0.4208333333333333
41,1999,0,9,0.3736842105263158
85,1999,0,1,0.9136363636363636
78,1999,0,1,0.4851851851851851
8,1999,0,2,0.471875
83,1999,0,1,0.5815789473684211
21,1999,0,1,0.8473684210526317
50,1999,0,1,0.628125
42,1999,0,1,0.5695652173913043
68,1999,0,2,0.524
34,1999,0,9,0.3736842105263158
75,1999,0,1,0.4826086956521739
58,1999,0,1,0.8500000000000001
32,1999,0,1,0.4481481481481481
0,1999,0,7,0.5761904761904761
23,1999,0,1,0.3607142857142857
16,1999,0,1,0.6333333333333334
30,1999,0,4,0.7346153846153847
43,1999,0,6,0.3736842105263158
28,1999,0,1,0.409375
77,1999,0,2,0.440625
52,1999,0,6,0.4111111111111111
36,1999,0,1,0.5750000000000001
96,1999,0,5,0.4510204081632653
37,1999,0,4,0.8282608695652174
10,1999,0,5,0.315625
62,1999,0,1,0.4878787878787879
4,1999,0,1,0.5222222222222223
76,1999,0,1,0.2589743589743589
64,1999,0,1,0.684
33,1999,0,1,0.8185185185185185
81,1999,0,2,0.4366666666666666
79,1999,0,1,0.6885714285714286
94,1999,0,1,0.8185185185185185
92,1999,0,1,0.81875
55,1999,0,1,0.6885714285714286
87,1999,0,0,0.7171428571428572
22,1999,0,1,0.6483870967741936
74,1999,0,2,0.4208333333333333
47,1999,0,2,0.8115384615384615
1,1999,0,1,0.7451612903225807
88,1999,0,8,0.4269230769230769
44,1999,0,1,0.4878787878787879
35,1999,0,5,0.87
71,1999,0,1,0.8096774193548387
26,1999,0,1,0.4624999999999999
13,1999,0,2,0.5355555555555556
19,1999,0,2,0.6694444444444445
39,1999,0,2,0.4028571428571428
67,1999,0,1,0.5033333333333333
15,1999,0,2,0.2277777777777777
11,1999,0,1,0.5787878787878789
56,1999,0,1,0.4870967741935483
6,1999,0,0,0.534375
40,1999,0,8,0.4321428571428571
46,1999,0,4,0.355
48,1999,0,0,0.3457142857142857
72,1999,0,1,0.8739130434782609
25,1999,0,1,0.4906976744186047
2,1999,0,1,0.3681818181818181
31,1999,0,2,0.3431818181818182
91,1999,0,5,0.6243243243243244
49,1999,0,2,0.3374999999999999
12,1999,0,8,0.3374999999999999
59,1999,0,5,0.4775
95,1999,0,2,0.7088235294117647
24,1999,0,2,0.2935483870967741
60,1999,0,1,0.917391304347826
82,1999,0,7,0.6696969696969698
57,1999,0,1,0.2652173913043478
70,1999,0,1,0.7033333333333334
3,1999,0,2,0.5704545454545454
63,1999,0,5,0.55
20,1999,0,1,0.4225806451612903
29,1999,0,1,0.4621621621621622
86,1999,0,0,0.5055555555555555
9,1999,0,1,0.5392857142857143
90,1999,0,5,0.5700000000000001
17,1999,0,2,0.4678571428571428
65,1999,0,2,0.2404761904761904
150,2000,0,1,0.5525
155,2000,0,0,0.3852941176470588
102,2000,0,1,0.7394736842105264
116,2000,0,9,0.5193548387096775
163,2000,0,1,0.924
160,2000,0,1,0.5551724137931034
158,2000,0,1,0.65
135,2000,0,3,0.327906976744186
140,2000,0,1,0.7864864864864866
171,2000,0,1,0.5742857142857143
157,2000,0,3,0.5029411764705882
175,2000,0,9,0.325
142,2000,0,2,0.6760869565217391
164,2000,0,2,0.4272727272727272
109,2000,0,1,0.564
165,2000,0,1,0.7000000000000001
182,2000,0,3,0.5738095238095239
159,2000,0,4,0.5045454545454545
188,2000,0,8,0.374074074074074
185,2000,0,1,0.7921052631578948
143,2000,0,1,0.3964285714285714
97,2000,0,8,0.3827586206896551
180,2000,0,3,0.5366666666666667
183,2000,0,1,0.7535714285714287
153,2000,0,1,0.46
177,2000,0,1,0.9147058823529411
124,2000,0,1,0.4194444444444444
187,2000,0,1,0.7000000000000001
156,2000,0,9,0.3973684210526316
179,2000,0,7,0.4441176470588235
186,2000,0,1,0.8945945945945947
189,2000,0,1,0.7892857142857144
98,2000,0,0,0.4351351351351352
172,2000,0,0,0.5574074074074075
154,2000,0,3,0.534375
107,2000,0,3,0.5962962962962963
134,2000,0,5,0.3903225806451613
112,2000,0,1,0.3836363636363636
123,2000,0,1,0.4547619047619048
148,2000,0,8,0.3871794871794872
139,2000,0,5,0.4272727272727272
169,2000,0,1,0.3981132075471698
145,2000,0,2,0.409375
105,2000,0,5,0.8395348837209302
181,2000,0,0,0.324
117,2000,0,1,0.4209302325581395
120,2000,0,2,0.5761904761904761
152,2000,0,4,0.5026315789473684
167,2000,0,3,0.7074074074074075
178,2000,0,1,0.4028571428571428
100,2000,0,2,0.3827586206896551
114,2000,0,1,0.3916666666666666
119,2000,0,0,0.4039999999999999
184,2000,0,2,0.2522727272727272
113,2000,0,1,0.4678571428571428
106,2000,0,1,0.315625
146,2000,0,1,0.7250000000000001
125,2000,0,1,0.396969696969697
121,2000,0,1,0.6694444444444445
131,2000,0,1,0.7594594594594595
101,2000,0,1,0.3916666666666666
130,2000,0,5,0.5041666666666667
133,2000,0,3,0.6868421052631579
136,2000,0,2,0.6342105263157896
141,2000,0,1,0.9678571428571427
168,2000,0,2,0.5617647058823529
104,2000,0,3,0.8185185185185185
149,2000,0,1,0.7171428571428572
115,2000,0,3,0.6573770491803279
192,2000,0,3,0.642
103,2000,0,9,0.4462962962962963
137,2000,0,3,0.5521739130434783
118,2000,0,3,0.6546666666666667
191,2000,0,1,0.4025
170,2000,0,3,0.5326530612244899
128,2000,0,3,0.458695652173913
122,2000,0,3,0.3871794871794872
190,2000,0,7,0.5732142857142858
111,2000,0,3,0.4735294117647059
166,2000,0,3,0.4529411764705882
162,2000,0,3,0.573469387755102
132,2000,0,5,0.3982758620689655
110,2000,0,4,0.3037735849056604
99,2000,0,3,0.523913043478261
161,2000,0,2,0.5640625
151,2000,0,1,0.6609756097560976
147,2000,0,0,0.3691176470588235
138,2000,0,7,0.2824561403508772
176,2000,0,7,0.5139534883720931
126,2000,0,0,0.4025
129,2000,0,7,0.4018181818181818
127,2000,0,1,0.3102564102564102
144,2000,0,3,0.3717391304347826
173,2000,0,3,0.2768115942028986
108,2000,0,1,0.4683333333333334
174,2000,0,2,0.4878787878787879
240,2000,0,8,0.5352941176470588
289,2000,0,9,0.3399999999999999
196,2000,0,0,0.742
256,2000,0,2,0.2833333333333333
213,2000,0,9,0.596875
241,2000,0,0,0.3638888888888889
267,2000,0,8,0.4301587301587302
221,2000,0,1,0.4366666666666666
286,2000,0,1,0.4033333333333333
215,2000,0,0,0.2630434782608695
212,2000,0,0,0.475
219,2000,0,1,0.5261904761904762
211,2000,0,2,0.6435897435897436
270,2000,0,5,0.3770833333333334
277,2000,0,2,0.6483870967741936
276,2000,0,2,0.2911111111111111
291,2000,0,1,0.7074074074074075
279,2000,0,0,0.4844827586206897
266,2000,0,1,0.4678571428571428
262,2000,0,1,0.5313725490196078
243,2000,0,1,0.5509803921568628
199,2000,0,4,0.2657894736842105
274,2000,0,0,0.4735294117647059
228,2000,0,0,0.617948717948718
225,2000,0,0,0.4275
223,2000,0,1,0.7382352941176471
253,2000,0,2,0.4194444444444444
290,2000,0,1,0.4263157894736842
261,2000,0,0,0.315625
193,2000,0,0,0.505
226,2000,0,2,0.5787878787878789
242,2000,0,1,0.9194444444444444
280,2000,0,1,0.5340425531914894
278,2000,0,8,0.37
272,2000,0,0,0.6885714285714286
235,2000,0,0,0.5477272727272727
197,2000,0,2,0.5146341463414634
255,2000,0,2,0.2981481481481481
281,2000,0,1,0.7382352941176471
239,2000,0,0,0.4763157894736842
220,2000,0,0,0.6314285714285715
218,2000,0,0,0.7805555555555556
201,2000,0,5,0.6483870967741936
238,2000,0,9,0.4272727272727272
275,2000,0,0,0.4147058823529411
198,2000,0,1,0.5289473684210527
216,2000,0,2,0.5775
284,2000,0,2,0.6028571428571429
205,2000,0,1,0.4525
227,2000,0,0,0.7295454545454546
288,2000,0,0,0.7295454545454546
258,2000,0,2,0.6868421052631579
244,2000,0,2,0.2951219512195122
263,2000,0,8,0.3358974358974358
287,2000,0,0,0.4918367346938775
254,2000,0,0,0.77
234,2000,0,0,0.2774999999999999
208,2000,0,6,0.4902439024390244
209,2000,0,0,0.4033333333333333
232,2000,0,2,0.3871794871794872
265,2000,0,3,0.5029411764705882
214,2000,0,0,0.4826923076923077
204,2000,0,1,0.3258064516129032
260,2000,0,1,0.5153846153846154
285,2000,0,0,0.4785714285714286
231,2000,0,1,0.7921052631578948
246,2000,0,5,0.565625
