year,topic_id,mean_top_lift
1999,0,4.897177823380952
1999,1,10.277665517445678
1999,2,5.918761580458262
1999,3,4.5836458449778466
1999,4,7.9399928519919
1999,5,8.680660262886338
1999,6,10.537004951973929
1999,7,3.418382684166646
1999,8,9.818799366027886
1999,9,5.914941467556591
2000,0,7.250759003597056
2000,1,6.717569109071732
2000,2,4.625095512470365
2000,3,4.391762548874169
2000,4,11.717403247664068
2000,5,4.540154183105462
2000,6,9.005239869271144
2000,7,3.9776777920481288
2000,8,10.16599995604441
2000,9,7.126421383626526
2001,0,9.594457806656472
2001,1,7.297872410160116
2001,2,5.19848591105392
2001,3,3.258769152447782
2001,4,9.464587655567694
2001,5,3.9336177226182523
2001,6,10.945669355148269
2001,7,5.698174139105847
2001,8,10.295825961284814
2001,9,9.768528343857339
2002,0,5.941652506495662
2002,1,5.064423894835781
2002,2,5.092481483110924
2002,3,8.972467316842355
2002,4,6.620087991895071
2002,5,6.5198815897930285
2002,6,7.0012232974465265
2002,7,7.405413048345014
2002,8,3.821665145270245
2002,9,3.880684344527095
2003,0,5.772627081356893
2003,1,4.150766313461382
2003,2,6.2610813097940765
2003,3,10.187128115356874
2003,4,6.220762779881236
2003,5,8.591214392420715
2003,6,6.686909259631354
2003,7,7.836674271000591
2003,8,5.188487414923541
2003,9,3.8181021035537897
2004,0,7.502964154102877
2004,1,5.385392333031391
2004,2,4.479387408543808
2004,3,5.16661219408512
2004,4,4.355973901645731
2004,5,5.72683810071504
2004,6,6.1889063213739135
2004,7,5.970663577188669
2004,8,5.973354009511601
2004,9,6.036264739413387
2005,0,5.449954145680799
2005,1,6.601686568956358
2005,2,6.128399885676048
2005,3,5.835731585901293
2005,4,5.9742721201181
2005,5,5.789731908282592
2005,6,6.031583757932686
2005,7,5.8993963317731835
2005,8,6.585507560969978
2005,9,6.250919726231631
2006,0,6.300447336790619
2006,1,6.3841559124425284
2006,2,7.150751958059644
2006,3,6.123050607085156
2006,4,7.041524926210398
2006,5,6.728541574825525
2006,6,6.2763492749339225
2006,7,7.663815041461392
2006,8,5.283481796716447
2006,9,6.69118475199952
2007,0,6.8384499096657745
2007,1,6.212594079898498
2007,2,6.32022822999729
2007,3,6.608197255101027
2007,4,6.369350835184171
2007,5,5.732131845478549
2007,6,6.293241470626727
2007,7,6.815950089631078
2007,8,5.638627973287957
2007,9,6.775474087198139
2008,0,6.262479233252402
2008,1,6.099614616871643
2008,2,6.324511152828299
2008,3,7.355717309356382
2008,4,7.263576243366144
2008,5,6.417988965730473
2008,6,7.211520977092505
2008,7,5.939434938702034
2008,8,6.51050551428281
2008,9,6.764110872123071
2009,0,6.2760401157442605
2009,1,6.715894195803967
2009,2,6.257111127636106
2009,3,5.760387946781508
2009,4,6.260615561585615
2009,5,6.554275049280514
2009,6,7.220790709478832
2009,7,7.641170878251761
2009,8,6.308726485068621
2009,9,6.167719957953988
2010,0,5.501762399097646
2010,1,6.719819609952092
2010,2,5.548331990225497
2010,3,5.539282575355234
2010,4,6.2474779774299565
2010,5,5.574453254429899
2010,6,6.167689476585748
2010,7,7.217239788939257
2010,8,5.75206290998066
2010,9,5.65624054678391
2011,0,5.298787392325187
2011,1,7.363301200296559
2011,2,5.504930061813138
2011,3,5.761492418907573
2011,4,5.771890975242542
2011,5,6.154019361510274
2011,6,6.005544294969614
2011,7,5.423324493324257
2011,8,6.143707434933685
2011,9,6.467065170641741
2012,0,5.641396278328505
2012,1,4.7149576350214435
2012,2,5.285390552576108
2012,3,6.641608424770834
2012,4,5.723483568498374
2012,5,5.944819956219621
2012,6,5.879326934520795
2012,7,5.531507224950377
2012,8,5.454235653793948
2012,9,5.931494061499824
2013,0,4.812489403604912
2013,1,5.472005294836973
2013,2,5.404479901706566
2013,3,5.195620260865028
2013,4,6.075641312156016
2013,5,5.053571671487597
2013,6,6.390713927640074
2013,7,6.112287754014205
2013,8,5.362155690199662
2013,9,5.7678394173508
2014,0,6.861580998689108
2014,1,6.2954245818802805
2014,2,5.087316874419703
2014,3,8.161168410002256
2014,4,8.13695851361523
2014,5,7.3363747933928085
2014,6,7.32190983531287
2014,7,8.121931785120765
2014,8,7.809425297586211
2014,9,8.61076900573523
