year,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
1999,0.10252421571377851,0.04247436709932951,0.11337338642776965,0.15883217878600345,0.06268536551249242,0.045676617249183926,0.041568533237818284,0.26943334165550537,0.06233600232812207,0.10109599198999654
2000,0.06670147224021152,0.06175262253610933,0.15727615155072508,0.17938176868951966,0.06711406642340566,0.1398894793047431,0.06963682545658323,0.16167371009963957,0.04406623429992133,0.05250766939914122
2001,0.05748704109054966,0.06396579562755156,0.10072165857280663,0.22885896973612527,0.06611238855304456,0.19523770466390653,0.07857218665873726,0.1024766929490458,0.06396459369882873,0.04260296844940367
2002,0.10038620371705664,0.12619830171719335,0.10991581498853151,0.03500256539100177,0.07154674334915054,0.06867828276048095,0.08680316967844921,0.051115029912058414,0.19396085844967312,0.15639303003640415
2003,0.11255909751503762,0.1378188696438992,0.11101310250312373,0.03717069987569767,0.1031165487452852,0.05292907906967577,0.07527502639541989,0.047090804967545016,0.15389985789341915,0.1691269133908964
2004,0.08506191714122496,0.0986589802717653,0.13259005382591424,0.11374567985724612,0.10318832630197664,0.09200068619386854,0.08833314673290035,0.08387502829997959,0.09833027377641526,0.10421590759870863
2005,0.10728678910515921,0.08323497500956276,0.11556147657065434,0.10585060547392003,0.10763493307303625,0.0949010393375212,0.09718915574739163,0.104742941157662,0.10174015446534981,0.0818579300597424
2006,0.12242954862735723,0.09863191428071597,0.08432858823065931,0.10854546156685042,0.09404013436253457,0.09188724011258188,0.1082086584814491,0.08622873448562444,0.11181168454822239,0.09388803530400434
2007,0.11545727377508275,0.09734294410833963,0.11044242863087379,0.0933210931705684,0.08039514434128248,0.10637108825413139,0.09278070864909896,0.10640058735400632,0.11617158349148721,0.08131714822512875
2008,0.11880998008064184,0.0942000070444347,0.10945980970376927,0.09274162438208994,0.09847324055156605,0.09333962952173494,0.09710117230500397,0.10434814193915282,0.10275731373849879,0.0887690807331074
2009,0.10971551250394476,0.087183691300267,0.1100590299959364,0.10855993302604823,0.10267764920176925,0.1000165301078623,0.09935253581726486,0.08362982592167059,0.10886189759306218,0.08994339453217408
2010,0.11174294096359184,0.08528017087177102,0.1123099723636534,0.10618336219066085,0.09701038606686337,0.09794030615595872,0.09395405168709894,0.09368814953611043,0.10441862516147726,0.09747203500281378
2011,0.12881790422862047,0.08080364961682451,0.11302397512464192,0.11410416149642844,0.09216008814183671,0.09572605315961868,0.09689910265225075,0.0916111605989701,0.09527153482393298,0.09158237015687504
2012,0.11609066539659844,0.09870391441648317,0.11139114941450012,0.08272595237060185,0.09414624035431414,0.09030400085734429,0.09553621374822402,0.10005883379617574,0.11296469354243786,0.09807833610332
2013,0.10581087455694346,0.10025628438915446,0.10784705029424628,0.11565369358436928,0.09536350787066787,0.10058584797024815,0.08269222215499988,0.08823829814775572,0.1102791192324818,0.09327310179913267
2014,0.08870661177118616,0.11074277319520139,0.15745960729869207,0.08258892260590232,0.1071429182841659,0.10043930295903833,0.09679442452056267,0.08335094917885169,0.1001071321687594,0.0726673580176397
