chunk_id,topic_id,cosine_sim
1,0,0.8643357611893443
1,1,0.9082081214281243
1,2,0.886171370705183
1,3,0.8245428398628654
1,4,0.8853923358711899
1,5,0.8370318421644537
1,6,0.8569595246378029
1,7,0.8253988381594857
1,8,0.8871318760770095
1,9,0.9070843772118318
2,0,0.8204481843351608
2,1,0.8716247295090491
2,2,0.8782662232591467
2,3,0.8629495915529266
2,4,0.8576299749437205
2,5,0.8577042084480837
2,6,0.8451162874170914
2,7,0.8621999093945842
2,8,0.861839464066083
2,9,0.861973913816125
3,0,0.8576265120504305
3,1,0.8860780205936852
3,2,0.8824013572502091
3,3,0.8822207407072986
3,4,0.8720524260977038
3,5,0.8453413600228157
3,6,0.8564807518602535
3,7,0.8537404331570493
3,8,0.8720230722043347
3,9,0.858425425710873
4,0,0.8539354427147252
4,1,0.8857210803154392
4,2,0.861221708003531
4,3,0.8653563610656416
4,4,0.8572865662446411
4,5,0.8557382227649627
4,6,0.8631284744096098
4,7,0.8705719535069438
4,8,0.8734882731136993
4,9,0.8325558908795918
5,0,0.8948499381387145
5,1,0.9073722146224514
5,2,0.8966237859071557
5,3,0.8883576955347765
5,4,0.8549997403812863
5,5,0.8776503126736876
5,6,0.877656141624982
5,7,0.8954444138642312
5,8,0.8804880644531936
5,9,0.8713718624921833
6,0,0.8866974371750833
6,1,0.8884546818059424
6,2,0.8895950418693397
6,3,0.8978307631411269
6,4,0.8604733161965508
6,5,0.8817811690525401
6,6,0.8669800715989076
6,7,0.8937700369198631
6,8,0.8686182746421276
6,9,0.8807122279674007
7,0,0.8937012710731673
7,1,0.8950199599727489
7,2,0.9076562111347942
7,3,0.9032667004463297
7,4,0.8631342472825116
7,5,0.9083121996575043
7,6,0.8846262980415127
7,7,0.8881057990433561
7,8,0.8907520850936417
7,9,0.8892878386641965
8,0,0.9191006617715664
8,1,0.9018871301397623
8,2,0.9151316196915946
8,3,0.9261181672002307
8,4,0.9038163132975843
8,5,0.9124029365852686
8,6,0.9093365211992166
8,7,0.9152607432752182
8,8,0.9073010284071221
8,9,0.9141455943296488
9,0,0.9267633806503418
9,1,0.9180594847482069
9,2,0.9273580997923283
9,3,0.9246447099142617
9,4,0.9178244343255443
9,5,0.9273949050904041
9,6,0.9162305117707912
9,7,0.9267839812094494
9,8,0.9101992041558409
9,9,0.9234908472419698
10,0,0.9322387227524835
10,1,0.9352669625465065
10,2,0.9346563791500363
10,3,0.9187033093739407
10,4,0.9242273225421094
10,5,0.925371929077774
10,6,0.9199671645417193
10,7,0.928788731427362
10,8,0.9209885530860291
10,9,0.9246602694097266
11,0,0.8843322884266798
11,1,0.88982602760223
11,2,0.906877845579152
11,3,0.8538458145920391
11,4,0.8021847236738799
11,5,0.9100022050272699
11,6,0.8528318202398506
11,7,0.8666541230590936
11,8,0.8561478977838552
11,9,0.8607792239414018
